Player,PrgC,PrgP,PrgR,Min,npxG+xAG,npxG+xAG
Aaron Ramsdale,0.0,2.0,0.0,360.0,0.0,0.0
William Saliba,2.0,26.0,1.0,360.0,0.1,0.03
Ben White,7.0,23.0,17.0,360.0,0.6,0.14
Declan Rice,6.0,25.0,5.0,359.0,0.9,0.23
Bukayo Saka,26.0,17.0,67.0,358.0,2.7,0.67
Martin Ødegaard,16.0,25.0,19.0,350.0,0.6,0.16
Martinelli,17.0,14.0,52.0,333.0,1.0,0.28
Kai Havertz,5.0,15.0,17.0,311.0,1.3,0.38
Eddie Nketiah,4.0,5.0,17.0,271.0,1.6,0.53
Thomas Partey,9.0,28.0,4.0,235.0,0.2,0.07
Takehiro Tomiyasu,1.0,9.0,4.0,122.0,0.0,0.02
Gabriel Dos Santos,0.0,5.0,0.0,116.0,0.0,0.0
Oleksandr Zinchenko,4.0,10.0,5.0,112.0,0.2,0.13
Jorginho,2.0,7.0,0.0,20.0,0.0,0.0
