Player,PrgC,PrgP,PrgR,Min,npxG+xAG,npxG+xAG
Milos Kerkez,5.0,8.0,16.0,360.0,0.1,0.02
Neto,0.0,0.0,0.0,360.0,0.0,0.0
Dominic Solanke,6.0,6.0,22.0,360.0,2.1,0.54
Illia Zabarnyi,1.0,14.0,0.0,360.0,0.0,0.0
Philip Billing,4.0,17.0,12.0,355.0,1.2,0.3
Max Aarons,3.0,13.0,9.0,344.0,0.2,0.04
Ryan Christie,5.0,11.0,15.0,273.0,0.8,0.25
Marcos Senesi,3.0,11.0,0.0,232.0,0.2,0.08
Antoine Semenyo,6.0,5.0,13.0,222.0,0.8,0.34
Joe Rothwell,3.0,9.0,3.0,210.0,0.1,0.04
Justin Kluivert,5.0,9.0,13.0,188.0,0.5,0.22
Jaidon Anthony,2.0,8.0,9.0,152.0,0.1,0.04
David Brooks,4.0,9.0,11.0,138.0,1.5,0.97
Kieffer Moore,1.0,2.0,9.0,57.0,0.3,0.43
