Player,PrgC,PrgP,PrgR,Min,npxG+xAG,npxG+xAG
Mark Flekken,0.0,1.0,0.0,360.0,0.0,0.0
Rico Henry,12.0,18.0,11.0,360.0,1.1,0.26
Bryan Mbeumo,15.0,13.0,35.0,360.0,3.1,0.78
Ethan Pinnock,0.0,9.0,3.0,360.0,1.4,0.35
Vitaly Janelt,1.0,14.0,14.0,340.0,0.4,0.12
Christian Nørgaard,0.0,26.0,9.0,329.0,0.5,0.13
Yoane Wissa,6.0,4.0,20.0,329.0,2.5,0.67
Aaron Hickey,3.0,12.0,3.0,319.0,0.1,0.04
Mathias Jensen,2.0,12.0,7.0,288.0,0.9,0.27
Nathan Collins,1.0,7.0,3.0,280.0,0.7,0.23
Kevin Schade,2.0,9.0,15.0,238.0,1.1,0.43
Kristoffer Ajer,2.0,5.0,4.0,95.0,1.3,1.2
Keane Lewis-Potter,3.0,0.0,11.0,51.0,0.7,1.29
