Player,PrgC,PrgP,PrgR,Min,npxG+xAG,npxG+xAG
Lewis Dunk,13.0,36.0,2.0,360.0,0.3,0.08
Pervis Estupiñán,19.0,34.0,32.0,360.0,2.6,0.65
Kaoru Mitoma,28.0,11.0,60.0,350.0,2.2,0.56
Pascal Groß,7.0,45.0,25.0,348.0,1.7,0.45
Solly March,6.0,13.0,35.0,314.0,1.6,0.47
Billy Gilmour,4.0,25.0,4.0,242.0,0.5,0.17
James Milner,2.0,17.0,15.0,215.0,0.1,0.05
Danny Welbeck,6.0,5.0,12.0,192.0,0.7,0.35
João Pedro,11.0,9.0,27.0,228.0,1.2,0.45
Evan Ferguson,2.0,5.0,9.0,207.0,2.4,1.05
Joël Veltman,1.0,5.0,1.0,155.0,0.1,0.05
Mahmoud Dahoud,0.0,6.0,0.0,97.0,0.2,0.16
Adam Lallana,0.0,5.0,9.0,51.0,0.1,0.1
Simon Adingra,2.0,0.0,5.0,38.0,0.4,1.0
