Player,PrgC,PrgP,PrgR,Min,npxG+xAG,npxG+xAG
Josh Cullen,1.0,9.0,6.0,270.0,0.5,0.16
Ameen Al-Dakhil,4.0,13.0,2.0,270.0,0.1,0.03
Dara O'Shea,1.0,11.0,0.0,270.0,0.1,0.02
Connor Roberts,3.0,21.0,2.0,270.0,0.0,0.01
James Trafford,0.0,3.0,0.0,270.0,0.0,0.0
Lyle Foster,8.0,3.0,14.0,259.0,0.9,0.31
Sander Berge,0.0,1.0,5.0,201.0,0.0,0.02
Zeki Amdouni,4.0,6.0,9.0,199.0,0.3,0.13
Luca Koleosho,9.0,4.0,16.0,194.0,0.7,0.34
Jacob Bruun Larsen,6.0,3.0,10.0,63.0,0.2,0.27
Nathan Redmond,2.0,0.0,7.0,55.0,0.2,0.38
