Player,PrgC,PrgP,PrgR,Min,npxG+xAG,npxG+xAG
Levi Colwill,3.0,12.0,8.0,360.0,0.7,0.16
Axel Disasi,4.0,28.0,2.0,360.0,0.7,0.18
Enzo Fernández,15.0,64.0,17.0,360.0,1.7,0.42
Robert Sánchez,0.0,1.0,0.0,360.0,0.0,0.0
Thiago Silva,0.0,20.0,1.0,360.0,0.2,0.05
Nicolas Jackson,16.0,8.0,34.0,352.0,3.4,0.87
Raheem Sterling,25.0,14.0,54.0,349.0,2.1,0.55
Conor Gallagher,3.0,18.0,7.0,315.0,0.5,0.15
Ben Chilwell,8.0,7.0,22.0,295.0,2.6,0.78
Malo Gusto,15.0,12.0,22.0,263.0,0.4,0.14
Moisés Caicedo,2.0,19.0,3.0,196.0,0.1,0.05
Mykhailo Mudryk,5.0,2.0,7.0,69.0,0.2,0.26
Ian Maatsen,2.0,2.0,5.0,29.0,0.1,0.27
