Player,PrgC,PrgP,PrgR,Min,npxG+xAG,npxG+xAG
Joachim Andersen,7.0,38.0,2.0,360.0,0.4,0.11
Jordan Ayew,13.0,8.0,39.0,360.0,1.9,0.48
Cheick Doucouré,3.0,18.0,1.0,360.0,0.2,0.06
Eberechi Eze,13.0,13.0,25.0,360.0,2.6,0.64
Sam Johnstone,0.0,0.0,0.0,360.0,0.0,0.0
Jefferson Lerma,4.0,13.0,9.0,360.0,0.8,0.2
Tyrick Mitchell,2.0,9.0,25.0,360.0,0.6,0.14
Marc Guéhi,4.0,12.0,1.0,359.0,0.1,0.01
Joel Ward,5.0,15.0,4.0,352.0,0.0,0.0
Odsonne Édouard,8.0,8.0,22.0,339.0,2.5,0.67
Jeffrey Schlupp,1.0,10.0,9.0,303.0,0.8,0.25
