Player,PrgC,PrgP,PrgR,Min,npxG+xAG,npxG+xAG
Amadou Onana,5.0,21.0,12.0,360.0,2.3,0.58
Nathan Patterson,9.0,12.0,15.0,360.0,1.3,0.32
Jordan Pickford,0.0,0.0,0.0,360.0,0.0,0.0
Ashley Young,6.0,18.0,6.0,360.0,0.5,0.13
Abdoulaye Doucouré,10.0,12.0,23.0,359.0,3.0,0.75
James Tarkowski,1.0,14.0,3.0,359.0,0.4,0.11
James Garner,5.0,10.0,12.0,336.0,0.6,0.17
Idrissa Gana Gueye,5.0,16.0,7.0,314.0,0.1,0.03
Arnaut Danjuma,12.0,4.0,20.0,251.0,2.1,0.75
Michael Keane,2.0,6.0,0.0,181.0,0.0,0.02
Lewis Dobbin,5.0,0.0,6.0,118.0,0.1,0.07
