Player,PrgC,PrgP,PrgR,Min,npxG+xAG,npxG+xAG
Issa Diop,3.0,14.0,0.0,360.0,0.1,0.03
Bernd Leno,0.0,0.0,0.0,360.0,0.0,0.0
Antonee Robinson,8.0,11.0,8.0,360.0,0.2,0.05
Kenny Tete,7.0,14.0,11.0,337.0,0.1,0.02
Harry Wilson,5.0,11.0,19.0,330.0,0.5,0.14
Raúl Jiménez,3.0,3.0,17.0,312.0,1.1,0.33
Bobby Reid,8.0,5.0,14.0,271.0,1.8,0.58
Harrison Reed,0.0,5.0,4.0,267.0,0.4,0.14
Andreas Pereira,1.0,4.0,12.0,252.0,0.2,0.06
Saša Lukić,2.0,10.0,4.0,249.0,0.1,0.05
Tim Ream,3.0,10.0,1.0,243.0,1.0,0.35
Tom Cairney,1.0,3.0,3.0,100.0,0.1,0.06
Willian,2.0,1.0,2.0,86.0,0.1,0.12
Adama Traoré,1.0,0.0,2.0,35.0,0.2,0.53
