Player,PrgC,PrgP,PrgR,Min,npxG+xAG,npxG+xAG
Alisson,0.0,0.0,0.0,360.0,0.0,0.0
Andrew Robertson,5.0,25.0,9.0,360.0,0.3,0.08
Dominik Szoboszlai,9.0,15.0,20.0,360.0,0.8,0.2
Mohamed Salah,8.0,12.0,23.0,341.0,2.9,0.76
Trent Alexander-Arnold,13.0,17.0,7.0,324.0,1.0,0.29
Alexis Mac Allister,4.0,18.0,3.0,309.0,0.0,0.01
Luis Díaz,12.0,6.0,23.0,257.0,1.7,0.59
Cody Gakpo,6.0,10.0,9.0,210.0,0.4,0.18
Virgil van Dijk,0.0,2.0,1.0,207.0,0.3,0.14
Diogo Jota,12.0,4.0,23.0,199.0,1.1,0.49
Joe Gomez,0.0,6.0,0.0,164.0,0.1,0.05
Darwin Núñez,3.0,5.0,10.0,108.0,2.1,1.76
Wataru Endo,0.0,3.0,0.0,89.0,0.0,0.0
Harvey Elliott,3.0,6.0,8.0,88.0,0.1,0.05
