Player,PrgC,PrgP,PrgR,Min,npxG+xAG,npxG+xAG
Amari'i Bell,0.0,10.0,0.0,270.0,0.0,0.0
Thomas Kaminski,0.0,0.0,0.0,270.0,0.0,0.0
Carlton Morris,4.0,12.0,21.0,270.0,0.8,0.25
Marvelous Nakamba,0.0,9.0,2.0,270.0,0.3,0.1
Ryan John Giles,5.0,8.0,18.0,250.0,0.3,0.1
Tahith Chong,4.0,10.0,12.0,246.0,0.2,0.08
Elijah Adebayo,1.0,5.0,12.0,202.0,0.5,0.22
Mads Juel Andersen,0.0,4.0,1.0,179.0,0.2,0.1
Issa Kaboré,9.0,6.0,10.0,152.0,0.3,0.18
Alfie Doughty,0.0,6.0,4.0,125.0,0.1,0.09
Pelly Ruddock Mpanzu,1.0,4.0,2.0,121.0,0.3,0.22
Jacob Brown,3.0,0.0,8.0,68.0,0.2,0.24
Chiedozie Ogbene,5.0,0.0,3.0,42.0,0.0,0.06
