Player,PrgC,PrgP,PrgR,Min,npxG+xAG,npxG+xAG
Ederson,0.0,0.0,0.0,360.0,0.1,0.02
Julián Álvarez,9.0,13.0,26.0,359.0,2.4,0.6
Kyle Walker,11.0,22.0,33.0,359.0,0.4,0.11
Erling Haaland,4.0,3.0,14.0,349.0,4.2,1.08
Rodri,5.0,29.0,8.0,345.0,1.0,0.27
Mateo Kovačić,11.0,25.0,12.0,326.0,0.9,0.24
Phil Foden,9.0,19.0,25.0,274.0,1.6,0.52
Manuel Akanji,2.0,9.0,1.0,270.0,0.1,0.03
Rúben Dias,2.0,18.0,3.0,270.0,0.0,0.01
Nathan Aké,3.0,11.0,2.0,258.0,0.4,0.14
Bernardo Silva,13.0,12.0,18.0,195.0,0.7,0.31
Joško Gvardiol,7.0,10.0,3.0,192.0,0.0,0.02
