Player,PrgC,PrgP,PrgR,Min,npxG+xAG,npxG+xAG
Casemiro,4.0,35.0,9.0,360.0,1.5,0.37
Bruno Fernandes,3.0,32.0,28.0,360.0,3.8,0.94
André Onana,0.0,1.0,0.0,360.0,0.0,0.0
Marcus Rashford,12.0,8.0,31.0,351.0,2.2,0.56
Aaron Wan-Bissaka,11.0,15.0,10.0,335.0,1.1,0.3
Antony,16.0,14.0,44.0,308.0,1.4,0.42
Lisandro Martínez,6.0,23.0,1.0,291.0,0.1,0.02
Raphaël Varane,5.0,12.0,0.0,225.0,1.0,0.41
Christian Eriksen,5.0,15.0,8.0,228.0,0.7,0.27
Diogo Dalot,7.0,8.0,8.0,205.0,0.0,0.01
Alejandro Garnacho,8.0,4.0,18.0,139.0,0.4,0.24
Anthony Martial,2.0,4.0,12.0,131.0,0.2,0.1
Victor Lindelöf,1.0,2.0,2.0,173.0,0.1,0.04
Jadon Sancho,10.0,4.0,5.0,79.0,0.1,0.06
