Player,PrgC,PrgP,PrgR,Min,npxG+xAG,npxG+xAG
Dan Burn,3.0,6.0,1.0,360.0,0.2,0.06
Nick Pope,0.0,0.0,0.0,360.0,0.0,0.01
Fabian Schär,0.0,10.0,2.0,360.0,0.1,0.03
Kieran Trippier,6.0,27.0,13.0,360.0,0.8,0.19
Bruno Guimarães,6.0,30.0,2.0,354.0,0.4,0.11
Miguel Almirón,19.0,8.0,29.0,317.0,1.0,0.3
Joelinton,5.0,9.0,10.0,284.0,0.7,0.21
Anthony Gordon,15.0,7.0,19.0,283.0,1.9,0.61
Sandro Tonali,5.0,11.0,16.0,282.0,1.0,0.31
Alexander Isak,6.0,5.0,13.0,276.0,1.4,0.47
Sven Botman,0.0,6.0,2.0,266.0,0.6,0.2
Callum Wilson,1.0,0.0,9.0,100.0,1.5,1.32
Harvey Barnes,7.0,3.0,8.0,94.0,1.5,1.46
Sean Longstaff,1.0,7.0,5.0,92.0,0.7,0.64
Elliot Anderson,4.0,2.0,6.0,68.0,0.2,0.3
