Player,PrgC,PrgP,PrgR,Min,npxG+xAG,npxG+xAG
Morgan Gibbs-White,9.0,14.0,16.0,360.0,1.5,0.39
Matt Turner,0.0,0.0,0.0,360.0,0.0,0.0
Serge Aurier,5.0,18.0,14.0,341.0,0.4,0.12
Willy Boly,1.0,5.0,1.0,338.0,1.1,0.29
Joe Worrall,0.0,4.0,1.0,335.0,0.3,0.08
Scott McKenna,1.0,6.0,0.0,326.0,0.3,0.09
Danilo,3.0,7.0,7.0,283.0,0.2,0.07
Ryan Yates,4.0,8.0,1.0,292.0,0.0,0.0
Taiwo Awoniyi,3.0,6.0,11.0,247.0,2.3,0.83
Brennan Johnson,8.0,1.0,14.0,237.0,0.5,0.21
Ola Aina,3.0,1.0,1.0,233.0,0.0,0.01
Orel Mangala,0.0,5.0,2.0,228.0,0.0,0.01
Anthony Elanga,8.0,2.0,7.0,89.0,1.2,1.21
Chris Wood,1.0,1.0,0.0,44.0,0.2,0.38
Cheikhou Kouyaté,0.0,2.0,0.0,41.0,0.1,0.15
