Player,PrgC,PrgP,PrgR,Min,npxG+xAG,npxG+xAG
Anel Ahmedhodzic,2.0,5.0,4.0,360.0,0.5,0.12
Wes Foderingham,0.0,0.0,0.0,360.0,0.0,0.0
Oliver Norwood,0.0,14.0,1.0,349.0,0.3,0.09
Jack Robinson,1.0,7.0,2.0,349.0,0.1,0.04
John Egan,0.0,2.0,1.0,337.0,0.1,0.02
Bénie Adama Traore,6.0,7.0,13.0,273.0,0.6,0.2
Gustavo Hamer,6.0,11.0,5.0,270.0,0.6,0.21
George Baldock,2.0,6.0,12.0,250.0,0.2,0.06
Vinicius Souza,1.0,4.0,4.0,248.0,0.1,0.03
William Osula,2.0,0.0,9.0,233.0,0.3,0.11
Ben Osborn,1.0,6.0,8.0,192.0,0.1,0.06
Yasser Larouci,7.0,5.0,3.0,197.0,0.2,0.08
Chris Basham,0.0,4.0,2.0,146.0,0.0,0.0
