Player,PrgC,PrgP,PrgR,Min,npxG+xAG,npxG+xAG
Micky van de Ven,4.0,6.0,1.0,360.0,0.0,0.01
Guglielmo Vicario,0.0,0.0,0.0,360.0,0.0,0.0
Dejan Kulusevski,20.0,10.0,39.0,352.0,0.9,0.22
Yves Bissouma,11.0,26.0,2.0,343.0,0.4,0.09
James Maddison,10.0,38.0,30.0,337.0,2.7,0.73
Destiny Udogie,16.0,19.0,19.0,330.0,0.6,0.17
Son Heung-min,13.0,24.0,42.0,325.0,2.3,0.64
Cristian Romero,1.0,11.0,0.0,283.0,0.7,0.23
Pedro Porro,7.0,9.0,6.0,267.0,1.4,0.46
Richarlison,3.0,3.0,16.0,237.0,0.5,0.18
Pape Matar Sarr,5.0,17.0,7.0,216.0,1.9,0.81
Emerson,7.0,8.0,3.0,98.0,0.0,0.03
Oliver Skipp,0.0,6.0,4.0,97.0,0.0,0.0
Ivan Perišić,11.0,9.0,15.0,92.0,0.7,0.71
Pierre Højbjerg,0.0,5.0,1.0,69.0,0.0,0.0
