Player,PrgC,PrgP,PrgR,Min,npxG+xAG,npxG+xAG
Alphonse Areola,0.0,0.0,0.0,360.0,0.0,0.0
Jarrod Bowen,11.0,8.0,18.0,360.0,2.8,0.71
Vladimír Coufal,5.0,11.0,5.0,360.0,0.1,0.02
Emerson Palmieri,6.0,10.0,10.0,360.0,0.6,0.16
Kurt Zouma,0.0,3.0,0.0,360.0,0.2,0.05
Lucas Paquetá,1.0,26.0,6.0,352.0,1.8,0.47
Michail Antonio,5.0,4.0,14.0,309.0,1.2,0.34
Saïd Benrahma,15.0,14.0,37.0,280.0,1.2,0.38
James Ward-Prowse,1.0,11.0,3.0,260.0,1.2,0.43
Nayef Aguerd,1.0,8.0,0.0,246.0,0.2,0.06
Tomáš Souček,1.0,4.0,2.0,218.0,0.6,0.26
Edson Álvarez,0.0,3.0,2.0,183.0,0.2,0.11
Pablo Fornals,2.0,7.0,8.0,127.0,0.3,0.2
Danny Ings,0.0,1.0,6.0,30.0,0.1,0.37
