Player,PrgC,PrgP,PrgR,Min,npxG+xAG,npxG+xAG
Max Kilman,3.0,15.0,0.0,360.0,0.4,0.09
Mario Lemina,2.0,9.0,5.0,360.0,0.9,0.22
Pedro Neto,24.0,18.0,41.0,360.0,2.7,0.68
José Sá,0.0,0.0,0.0,360.0,0.0,0.0
Nélson Semedo,8.0,23.0,12.0,360.0,0.1,0.02
Matheus Cunha,13.0,9.0,14.0,340.0,2.5,0.66
Craig Dawson,0.0,10.0,2.0,340.0,0.4,0.12
João Gomes,3.0,14.0,2.0,312.0,0.3,0.08
Rayan Aït Nouri,6.0,16.0,10.0,287.0,0.4,0.13
Fábio Silva,4.0,8.0,10.0,214.0,1.2,0.52
Pablo Sarabia,4.0,8.0,16.0,173.0,1.8,0.92
Hwang Hee-chan,3.0,5.0,10.0,140.0,0.9,0.56
Hugo Bueno,6.0,3.0,13.0,112.0,0.3,0.24
Sasa Kalajdzic,0.0,0.0,0.0,19.0,0.4,1.83
